Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-24 15:55:13.101,1,0,1,8,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2025-10-24 15:55:14.059,1,0,0,8,1,1,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-10-24 15:55:15.081,1,0,0,7,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:55:16.102,1,0,0,8,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1
2025-10-24 15:55:17.061,1,1,0,7,1,0,1,0,1,1,0,1,1,0,1,1,1,2,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2025-10-24 15:55:18.082,2,0,0,8,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
2025-10-24 15:55:19.105,2,1,2,8,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1
2025-10-24 15:55:20.063,1,0,1,9,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1
2025-10-24 15:55:21.085,2,0,1,8,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1
2025-10-24 15:55:22.107,2,1,1,10,0,0,1,1,0,0,1,1,1,0,0,2,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:55:23.065,2,2,1,10,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,2,1,0
2025-10-24 15:55:24.086,2,1,1,9,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2025-10-24 15:55:25.108,2,1,1,10,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
2025-10-24 15:55:26.066,2,2,1,9,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0
2025-10-24 15:55:27.088,2,1,1,10,2,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0
2025-10-24 15:55:28.110,2,1,1,9,2,0,1,1,1,1,1,0,1,0,1,2,1,1,1,0,2,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:55:29.068,2,1,1,10,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
2025-10-24 15:55:30.090,1,1,1,10,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:55:31.048,2,1,1,10,1,0,1,1,1,1,1,0,1,1,1,2,1,1,1,0,1,0,1,1,1,1,1,1,2,0,1,0
